festivalId,year,date,month,paksha,tithi,location,sourceUrl,verified,reviewNotes
JAGRAN_UTSAV,2026,2026-01-14,MAGH,KRISHNA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=14/01/2026,true,Drik Panchang Vrindavan Gregorian month grid: January 2026; lunar range Pausha - Magha 2082; cell tithi Ekadashi Krishna; sunrise-day calendar.
HARIPRASAD_DEVJI_PRAKATYOTSAV,2026,2026-01-23,MAGH,SHUKLA,5,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=23/01/2026,true,Drik Panchang Vrindavan Gregorian month grid: January 2026; lunar range Pausha - Magha 2082; cell tithi Panchami Shukla; sunrise-day calendar.
RADHACHARANDAS_JI_PRAKATYOTSAV,2026,2026-03-15,CHAITRA,KRISHNA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=15/03/2026,true,Drik Panchang Vrindavan Gregorian month grid: March 2026; lunar range Phalguna 2082 - Chaitra 2083; cell tithi Ekadashi Krishna; sunrise-day calendar.
PHOOL_DOL_EKADASHI,2026,2026-03-29,CHAITRA,SHUKLA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=29/03/2026,true,Drik Panchang Vrindavan Gregorian month grid: March 2026; lunar range Phalguna 2082 - Chaitra 2083; cell tithi Ekadashi Shukla; sunrise-day calendar.
NAVALHARIDEVJI_PRAKATYOTSAV,2026,2026-05-03,JYESHTHA,KRISHNA,2,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=03/05/2026,true,Drik Panchang Vrindavan Gregorian month grid: May 2026; lunar range Vaishakha - Jyeshtha 2083; cell tithi Dwitiya Krishna; sunrise-day calendar.
BIHARINIDEVJI_JHULANOTSAV,2026,2026-08-15,SHRAVAN,SHUKLA,3,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=15/08/2026,true,Drik Panchang Vrindavan Gregorian month grid: August 2026; lunar range Shravana - Bhadrapada 2083; cell tithi Tritiya Shukla; sunrise-day calendar.
RADHASHTAMI,2026,2026-09-19,BHADRAPAD,SHUKLA,8,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=19/09/2026,true,Drik Panchang Vrindavan Gregorian month grid: September 2026; lunar range Bhadrapada - Ashwina 2083; cell tithi Ashtami Shukla; sunrise-day calendar.
DUSSEHRA_UTSAV,2026,2026-10-21,ASHWIN,SHUKLA,10,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=21/10/2026,true,Drik Panchang Vrindavan Gregorian month grid: October 2026; lunar range Ashwina - Kartika 2083; cell tithi Dashami Shukla; sunrise-day calendar.
SARASOTSAV,2026,2026-10-26,ASHWIN,SHUKLA,15,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=26/10/2026,true,Drik Panchang Vrindavan Gregorian month grid: October 2026; lunar range Ashwina - Kartika 2083; cell tithi Purnima Shukla; sunrise-day calendar.
ANANTKOOT_MAHOTSAV,2026,2026-12-01,AGAHAN,KRISHNA,8,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=01/12/2026,true,Drik Panchang Vrindavan Gregorian month grid: December 2026; lunar range Margashirsha - Pausha 2083; cell tithi Ashtami Krishna; sunrise-day calendar.
RANCHHODDAS_JI_UTSAV,2026,2026-12-05,AGAHAN,KRISHNA,12,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=05/12/2026,true,Drik Panchang Vrindavan Gregorian month grid: December 2026; lunar range Margashirsha - Pausha 2083; cell tithi Dwadashi Krishna; sunrise-day calendar.
BIHAR_PANCHAMI,2026,2026-12-14,AGAHAN,SHUKLA,5,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=14/12/2026,true,Drik Panchang Vrindavan Gregorian month grid: December 2026; lunar range Margashirsha - Pausha 2083; cell tithi Panchami Shukla; sunrise-day calendar.
HOLI_MAHOTSAV,2027,2027-03-22,PHALGUN,SHUKLA,15,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=22/03/2027,true,Drik Panchang Vrindavan Gregorian month grid: March 2027; lunar range Phalguna - Chaitra 2083; cell tithi Purnima Shukla; sunrise-day calendar.
AKSHAY_TRITIYA_CHARAN_DARSHAN,2027,2027-05-09,VAISHAKH,SHUKLA,3,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=09/05/2027,true,Drik Panchang Vrindavan Gregorian month grid: May 2027; lunar range Vaishakha - Jyeshtha 2084; cell tithi Tritiya Shukla; sunrise-day calendar.
NAVALHARIDEVJI_PRAKATYOTSAV,2027,2027-05-22,JYESHTHA,KRISHNA,2,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=22/05/2027,true,Drik Panchang Vrindavan Gregorian month grid: May 2027; lunar range Vaishakha - Jyeshtha 2084; cell tithi Dwitiya Krishna; sunrise-day calendar.
RADHAPRASAD_DEVJI_UTSAV,2027,2027-06-08,JYESHTHA,SHUKLA,4,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=08/06/2027,true,Drik Panchang Vrindavan Gregorian month grid: June 2027; lunar range Jyeshtha - Ashadha 2084; cell tithi Chaturthi Shukla; sunrise-day calendar.
NAVALDAS_JI_UTSAV,2027,2027-06-12,JYESHTHA,SHUKLA,9,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=12/06/2027,true,Drik Panchang Vrindavan Gregorian month grid: June 2027; lunar range Jyeshtha - Ashadha 2084; cell tithi Navami Shukla; sunrise-day calendar.
MOHINI_NIKUNJ_TATIYA_STHAN_UTSAV,2027,2027-06-14,JYESHTHA,SHUKLA,11,Vrindavan,https://www.drikpanchang.com/panchang/month-panchang.html?geoname-id=1253079&date=14/06/2027,true,Drik Panchang Vrindavan Gregorian month grid: June 2027; lunar range Jyeshtha - Ashadha 2084; cell tithi Ekadashi Shukla; sunrise-day calendar.
